matchId,matchday,homeTeamId,awayTeamId,homeScore,awayScore,played
436164,23,11,31,,,False
436165,23,1148,281,,,False
436166,23,1237,873,,,False
436167,23,1132,931,,,False
436168,23,631,543,,,False
436169,23,29,148,,,False
436170,23,985,379,,,False
436171,23,762,1031,,,False
436172,23,350,405,,,False
436173,24,405,985,,,False
436174,24,873,631,,,False
436175,24,931,989,,,False
436176,24,31,1132,,,False
436177,24,1031,350,,,False
436178,24,281,29,,,False
436179,24,703,762,,,False
436180,24,148,1237,,,False
436181,24,379,11,,,False
436182,24,543,1148,,,False
436183,25,1148,31,,,False
436184,25,1132,11,,,False
436185,25,29,873,,,False
436186,25,931,405,,,False
436187,25,1031,985,,,False
436188,25,281,631,,,False
436189,25,762,989,,,False
436190,25,703,379,,,False
436191,25,350,1237,,,False
436192,25,148,543,,,False
436193,26,989,281,,,False
436194,26,11,762,,,False
436195,26,405,703,,,False
436196,26,1237,29,,,False
436197,26,631,148,,,False
436198,26,873,1132,,,False
436199,26,31,1031,,,False
436200,26,985,931,,,False
436201,26,379,1148,,,False
436202,26,543,350,,,False
436203,27,1148,631,,,False
436204,27,1132,989,,,False
436205,27,29,379,,,False
436206,27,931,1237,,,False
436207,27,1031,405,,,False
436208,27,281,985,,,False
436209,27,762,543,,,False
436210,27,703,31,,,False
436211,27,350,11,,,False
436212,27,148,873,,,False
436213,28,989,350,,,False
436214,28,11,1148,,,False
436215,28,405,148,,,False
436216,28,1237,703,,,False
436217,28,631,762,,,False
436218,28,873,1031,,,False
436219,28,31,281,,,False
436220,28,985,29,,,False
436221,28,379,1132,,,False
436222,28,543,931,,,False
436224,29,1237,281,,,False
436225,29,1132,1148,,,False
436226,29,873,762,,,False
436227,29,29,31,,,False
436228,29,931,148,,,False
436229,29,1031,703,,,False
436230,29,985,350,,,False
436231,29,379,405,,,False
436232,29,543,989,,,False
436223,29,11,631,,,False
436233,30,989,29,,,False
436234,30,405,543,,,False
436235,30,1148,985,,,False
436236,30,631,1132,,,False
436237,30,31,1237,,,False
436238,30,281,11,,,False
436239,30,762,379,,,False
436240,30,703,873,,,False
436241,30,350,931,,,False
436242,30,148,1031,,,False
436243,31,989,873,,,False
436244,31,11,1031,,,False
436245,31,1148,1237,,,False
436246,31,1132,543,,,False
436247,31,703,931,,,False
436248,31,379,148,,,False
436249,31,631,985,,,False
436250,31,762,29,,,False
436251,31,31,350,,,False
436252,31,281,405,,,False
436253,32,405,1148,,,False
436254,32,1237,11,,,False
436255,32,873,281,,,False
436256,32,29,1132,,,False
436257,32,931,762,,,False
436258,32,1031,989,,,False
436259,32,985,31,,,False
436260,32,350,631,,,False
436261,32,148,703,,,False
436262,32,543,379,,,False
436263,33,989,985,,,False
436264,33,11,405,,,False
436265,33,1148,350,,,False
436266,33,1132,1237,,,False
436267,33,631,29,,,False
436268,33,31,873,,,False
436269,33,281,1031,,,False
436270,33,762,148,,,False
436271,33,703,543,,,False
436272,33,379,931,,,False
436273,34,405,989,,,False
436274,34,1237,631,,,False
436275,34,873,379,,,False
436276,34,29,703,,,False
436277,34,931,31,,,False
436278,34,1031,1148,,,False
436279,34,985,762,,,False
436280,34,350,1132,,,False
436281,34,148,281,,,False
436282,34,543,11,,,False
436283,35,989,1237,,,False
436284,35,405,631,,,False
436285,35,29,1148,,,False
436286,35,931,873,,,False
436287,35,985,1132,,,False
436288,35,762,350,,,False
436289,35,703,281,,,False
436290,35,148,11,,,False
436291,35,379,31,,,False
436292,35,543,1031,,,False
436293,36,11,989,,,False
436294,36,1148,931,,,False
436295,36,1237,405,,,False
436296,36,1132,762,,,False
436297,36,631,379,,,False
436298,36,873,985,,,False
436299,36,31,148,,,False
436300,36,1031,29,,,False
436301,36,281,543,,,False
436302,36,350,703,,,False
436303,37,989,1148,,,False
436304,37,405,31,,,False
436305,37,29,350,,,False
436306,37,931,281,,,False
436307,37,985,11,,,False
436308,37,762,1237,,,False
436309,37,703,631,,,False
436310,37,148,1132,,,False
436311,37,379,1031,,,False
436312,37,543,873,,,False
436313,38,11,29,,,False
436314,38,1148,762,,,False
436315,38,1237,985,,,False
436316,38,1132,703,,,False
436317,38,631,989,,,False
436318,38,873,405,,,False
436319,38,31,543,,,False
436320,38,1031,931,,,False
436321,38,281,379,,,False
436322,38,350,148,,,False
